Designator,Package,Quantity,Designation,Supplier,Supplier PN,Unit Cost
SW1,SW_PUSH-12mm,1,SPST,Digikey,,
"C1,C2",C_0402,2,.01uF,Digikey,,
TH1,R_0402,1,,Digikey,,
"R1,R4",R_0402,3,10K,Digikey,,
U1,SOIC-16_3.9x9.9mm_Pitch1.27mm,1,MC14049BDR2G,Digikey,,
"R2,R3,R5,R6",R_0402,4,1Meg,Digikey,,
U2,SOT-23,1,SSM3J328R,Digikey,,
P5,Pin_Header_Straight_1x04,1,CONN_01X04,Digikey,,
,4 Pin Socket,1,,DIgikey,,
,12 Pin Socket,2,,Digikey,,
,Battery Holder,1,,Digikey,,
,C Battery,3,,Digikey,,
,"PVC Tube, 1.25 x 10 in, Schd 80, threaded",1,,Home Depot,,
,"PVC Endcap, threaded",2,,Home Depot,,
U3,Particle-Photon,1,Particle_Photon,Digikey,,
PCB,,1,Sensor PCB,Advanced Circuits,,
